ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Correlation_Correlation_DNA_DUTP,Location_Center_X,Location_Center_Y,Number_Object_Number
1,136,42,1569,815,1.243695504,0.864770948,1,0.84,0.823770491,10.39483632,9.219544457,3,1.504763286,1.207106781,4,5.219938719,2.907186689,25.312,0.933333333,-0.065416197,1569.333333,815.1666667,136
1,52,23,1591,338,1.094793528,0.740333703,1,0.638888889,0.788957907,6.738316675,5.830951895,2.236067978,1.302496406,1,3.535533906,4.529762945,37.87932063,19.14,0.978723404,0.810871464,1590.26087,337.4782609,52
1,113,42,1593,698,1.140230894,0.802438121,1,0.777777778,0.863279493,9.571121529,8.544003745,3,1.544055704,1.414213562,5,5.711426424,10.2858147,24.726,0.903225806,-0.016639186,1592,697.7380952,113
1,107,11,1602,663,1.60502104,0.948539509,1,0.916666667,0.722909293,6.489721113,5.099019514,1,1,1,1,2.055027339,3.057751783,13.828,1,0,1599.727273,663.4545455,107
1,138,47,1638,824,2.396522333,0.974316026,1,0.734375,0.452200903,16.59155032,15,2,1.311847963,1,3,3.736168145,-0.631695569,36.14,0.886792453,0,1633.404255,824.1276596,138
1,100,20,1634,608,1.036725576,0.72563375,1,0.833333333,1.071953678,6.08,5.099019514,2,1.282842712,1,3,4.183533356,0,15.312,0.909090909,0.444142696,1634.5,608.5,100
1,151,26,1663,897,1.903616395,0.955519138,1,0.866666667,0.545027569,10.85407705,9.055385138,2,1.163178488,1,2,3.201183227,-1.297527825,24.484,0.945454545,0.021211757,1659.961538,897.0769231,151
1,105,21,1671,653,1.531954694,0.929310736,1,0.875,0.644054053,8.58372377,7.071067812,2,1.182306054,1,2,3.169958334,1.983959069,20.242,0.933333333,0,1671.619048,652.8571429,105
1,132,36,1673,794,1.443398065,0.916582837,1,0.9,0.7197865,10.76875761,9.219544457,2,1.36785113,1,3,4.305832247,3.145049074,25.07,0.947368421,0,1674.527778,794.5833333,132
1,42,1,1675,303,0,0,1,1,0.785398163,0.095,0,1,1,1,0,0.095,0,4,1,0,1675,303,42
