    al	    xc	    yc	    do	     h	    xl	    yl	    lo	counter
113.22	993.01	790.68	125.00	 30.00	1449.50	821.50	 34.00	  4.00


 13.82	1000.63	944.27	162.00	  5.00	270.50	907.00	 40.00	  1.00


  7.18	1018.17	859.90	144.00	  6.00	307.85	881.00	 37.00	  1.00
  7.18	1018.17	859.90	144.00	 13.00	630.69	845.69	 36.00	  2.00
  7.18	1018.17	859.90	144.00	 25.00	1095.11	897.32	 39.00	  3.00
  7.18	1018.17	859.90	144.00	 26.00	1095.53	834.30	 35.00	  4.00
  7.18	1018.17	859.90	144.00	 30.00	1449.50	821.50	 34.00	  5.00
  7.18	1018.17	859.90	144.00	 31.00	1453.56	893.14	 38.00	  6.00


 18.14	1057.76	939.97	161.00	  5.00	270.50	907.00	 40.00	  1.00
 18.14	1057.76	939.97	161.00	 25.00	1095.11	897.32	 39.00	  2.00

  9.19	1063.00	505.00	 82.00	  7.00	419.00	506.00	 19.00	  1.00

  8.86	1075.31	505.06	 81.00	  7.00	419.00	506.00	 19.00	  1.00

 79.94	1077.73	833.23	139.00	 13.00	630.69	845.69	 36.00	  1.00
 79.94	1077.73	833.23	139.00	 22.00	994.62	794.68	 32.00	  2.00
 79.94	1077.73	833.23	139.00	 24.00	1012.53	794.93	 33.00	  3.00
 79.94	1077.73	833.23	139.00	 26.00	1095.53	834.30	 35.00	  4.00
 79.94	1077.73	833.23	139.00	 30.00	1449.50	821.50	 34.00	  5.00

 39.56	1102.41	896.93	149.00	  5.00	270.50	907.00	 40.00	  1.00
 39.56	1102.41	896.93	149.00	  6.00	307.85	881.00	 37.00	  2.00
 39.56	1102.41	896.93	149.00	 25.00	1095.11	897.32	 39.00	  3.00
 39.56	1102.41	896.93	149.00	 31.00	1453.56	893.14	 38.00	  4.00

 24.36	1119.80	561.63	 89.00	 32.00	1457.00	587.20	 23.00	  1.00
 24.36	1119.80	561.63	 89.00	 33.00	1473.65	589.92	 24.00	  2.00
 24.36	1119.80	561.63	 89.00	 34.00	1481.00	589.80	 25.00	  3.00
 24.36	1119.80	561.63	 89.00	 35.00	1516.00	591.00	 26.00	  4.00
 24.36	1119.80	561.63	 89.00	 36.00	1538.68	591.61	 27.00	  5.00
 24.36	1119.80	561.63	 89.00	 38.00	1702.54	584.54	 21.00	  6.00

 17.90	1123.97	459.51	 73.00	 14.00	656.56	432.75	 16.00	  1.00
 17.90	1123.97	459.51	 73.00	 16.00	707.44	434.88	 17.00	  2.00
 17.90	1123.97	459.51	 73.00	 17.00	718.21	433.93	 18.00	  3.00

  3.19	1124.20	835.40	140.00	 13.00	630.69	845.69	 36.00	  1.00
  3.19	1124.20	835.40	140.00	 22.00	994.62	794.68	 32.00	  2.00
  3.19	1124.20	835.40	140.00	 24.00	1012.53	794.93	 33.00	  3.00
  3.19	1124.20	835.40	140.00	 26.00	1095.53	834.30	 35.00	  4.00
  3.19	1124.20	835.40	140.00	 30.00	1449.50	821.50	 34.00	  5.00


 17.44	1144.33	345.98	 53.00	  8.00	491.75	336.75	  9.00	  1.00


  6.48	1166.86	908.93	157.00	  5.00	270.50	907.00	 40.00	  1.00
  6.48	1166.86	908.93	157.00	  6.00	307.85	881.00	 37.00	  2.00
  6.48	1166.86	908.93	157.00	 25.00	1095.11	897.32	 39.00	  3.00
  6.48	1166.86	908.93	157.00	 31.00	1453.56	893.14	 38.00	  4.00

 11.73	1177.00	909.50	158.00	  5.00	270.50	907.00	 40.00	  1.00
 11.73	1177.00	909.50	158.00	  6.00	307.85	881.00	 37.00	  2.00
 11.73	1177.00	909.50	158.00	 25.00	1095.11	897.32	 39.00	  3.00
 11.73	1177.00	909.50	158.00	 31.00	1453.56	893.14	 38.00	  4.00


  2.09	1237.50	658.00	106.00	 20.00	770.50	633.50	 29.00	  1.00
  2.09	1237.50	658.00	106.00	 28.00	1341.00	690.50	 30.00	  2.00

 10.96	1285.29	667.79	108.00	 20.00	770.50	633.50	 29.00	  1.00
 10.96	1285.29	667.79	108.00	 28.00	1341.00	690.50	 30.00	  2.00


 16.79	1304.08	387.13	 61.00	 18.00	727.81	389.75	 11.00	  1.00
 16.79	1304.08	387.13	 61.00	 19.00	734.26	388.56	 10.00	  2.00
 16.79	1304.08	387.13	 61.00	 21.00	781.89	390.28	 12.00	  3.00

  4.98	1315.50	 27.00	  8.00	 27.00	1316.00	 26.80	  3.00	  1.00



  5.77	1339.28	691.39	112.00	 28.00	1341.00	690.50	 30.00	  1.00


  2.62	1343.00	384.00	 58.00	 18.00	727.81	389.75	 11.00	  1.00
  2.62	1343.00	384.00	 58.00	 19.00	734.26	388.56	 10.00	  2.00
  2.62	1343.00	384.00	 58.00	 21.00	781.89	390.28	 12.00	  3.00

 20.32	1353.15	755.95	121.00	 23.00	999.66	784.92	 31.00	  1.00


 15.38	1361.21	788.08	129.00	 22.00	994.62	794.68	 32.00	  1.00
 15.38	1361.21	788.08	129.00	 23.00	999.66	784.92	 31.00	  2.00
 15.38	1361.21	788.08	129.00	 24.00	1012.53	794.93	 33.00	  3.00
 15.38	1361.21	788.08	129.00	 30.00	1449.50	821.50	 34.00	  4.00

 49.23	1363.65	136.84	 19.00	 15.00	664.50	127.00	  4.00	  1.00
 49.23	1363.65	136.84	 19.00	 29.00	1356.61	137.07	  5.00	  2.00


 40.72	1390.27	789.41	130.00	 22.00	994.62	794.68	 32.00	  1.00
 40.72	1390.27	789.41	130.00	 23.00	999.66	784.92	 31.00	  2.00
 40.72	1390.27	789.41	130.00	 24.00	1012.53	794.93	 33.00	  3.00
 40.72	1390.27	789.41	130.00	 30.00	1449.50	821.50	 34.00	  4.00

  3.35	1401.00	800.00	134.00	 22.00	994.62	794.68	 32.00	  1.00
  3.35	1401.00	800.00	134.00	 23.00	999.66	784.92	 31.00	  2.00
  3.35	1401.00	800.00	134.00	 24.00	1012.53	794.93	 33.00	  3.00
  3.35	1401.00	800.00	134.00	 26.00	1095.53	834.30	 35.00	  4.00
  3.35	1401.00	800.00	134.00	 30.00	1449.50	821.50	 34.00	  5.00

  9.35	1413.10	356.45	 54.00	  8.00	491.75	336.75	  9.00	  1.00

  9.85	1438.23	495.46	 78.00	  7.00	419.00	506.00	 19.00	  1.00


 45.06	1465.03	893.52	148.00	  5.00	270.50	907.00	 40.00	  1.00
 45.06	1465.03	893.52	148.00	  6.00	307.85	881.00	 37.00	  2.00
 45.06	1465.03	893.52	148.00	 13.00	630.69	845.69	 36.00	  3.00
 45.06	1465.03	893.52	148.00	 25.00	1095.11	897.32	 39.00	  4.00
 45.06	1465.03	893.52	148.00	 31.00	1453.56	893.14	 38.00	  5.00

 42.72	1467.57	822.59	137.00	 13.00	630.69	845.69	 36.00	  1.00
